"model","label_name","label_id","SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator","SegmentedPropertyCategoryCodeSequence.CodeValue","SegmentedPropertyCategoryCodeSequence.CodeMeaning","SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeCodeSequence.CodeValue","SegmentedPropertyTypeCodeSequence.CodeMeaning","SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeModifierCodeSequence.CodeValue","SegmentedPropertyTypeModifierCodeSequence.CodeMeaning","AnatomicRegionSequence.CodingSchemeDesignator","AnatomicRegionSequence.CodeValue","AnatomicRegionSequence.CodeMeaning","AnatomicRegionModifierSequence.CodingSchemeDesignator","AnatomicRegionModifierSequence.CodeValue","AnatomicRegionModifierSequence.CodeMeaning","recommendedDisplayRGBValue"
"total","skeletal_muscle","","SCT","123037004","Anatomical Structure","SCT","127954009","Skeletal muscle","","","","","","","","","",""
"total","torso_fat","","SCT","85756007","Tissue","SCT","55603005","Fat","","","","SCT","22943007","Trunk","","","",""
"total","spinal_cord","","SCT","123037004","Anatomical Structure","SCT","2748008","Spinal cord","","","","","","","","","",""
"total","lung_covid_infiltrate","","SCT","49755003","Morphologically Altered Structure","SCT","47351003","Infiltrate","SCT","840539006","COVID-19","SCT","39607008","Lung","","","",""
"total","intracerebral_hemorrhage","","SCT","49755003","Morphologically Altered Structure","SCT","50960005","Hemorrhage","","","","SCT","12738006","Brain","","","",""
"total","hip_implant","","SCT","260787004","Physical object","SCT","40388003","Implant","","","","SCT","24136001","Hip joint","","","",""
"total","coronary_arteries","","SCT","123037004","Anatomical Structure","SCT","41801008","Coronary artery","","","","","","","","","",""
"total","kidney","","SCT","123037004","Anatomical Structure","SCT","64033007","Kidney","","","","","","","","","",""
"total","adrenal_gland","","SCT","123037004","Anatomical Structure","SCT","23451007","Adrenal gland","","","","","","","","","",""
"total","thyroid_gland","","SCT","123037004","Anatomical Structure","SCT","69748006","Thyroid gland","","","","","","","","","",""
"total","vertebrae_lumbar","","SCT","123037004","Anatomical Structure","SCT","51282000","Vertebra","","","","SCT","122496007","Lumbar spine","","","",""
"total","vertebrae_thoracic","","SCT","123037004","Anatomical Structure","SCT","51282000","Vertebra","","","","SCT","122495006","Thoracic spine","","","",""
"total","vertebrae_cervical","","SCT","123037004","Anatomical Structure","SCT","51282000","Vertebra","","","","SCT","122494005","Cervical spine","","","",""
"total","iliac_artery","","SCT","123037004","Anatomical Structure","SCT","73634005","Common iliac artery","","","","","","","","","",""
"total","iliac_vena","","SCT","123037004","Anatomical Structure","SCT","46027005","Common iliac vein","","","","","","","","","",""
"total","ribs","","SCT","123037004","Anatomical Structure","SCT","113197003","Rib","","","","","","","","","",""
"total","scapula","","SCT","123037004","Anatomical Structure","SCT","79601000","Scapula","","","","","","","","","",""
"total","clavicula","","SCT","123037004","Anatomical Structure","SCT","51299004","Clavicle","","","","","","","","","",""
"total","hip","","SCT","123037004","Anatomical Structure","SCT","29836001","Hip","","","","","","","","","",""
"total","gluteus_maximus","","SCT","123037004","Anatomical Structure","SCT","181674001","Gluteus maximus muscle","","","","","","","","","",""
"total","gluteus_medius","","SCT","123037004","Anatomical Structure","SCT","78333006","Gluteus medius muscle","","","","","","","","","",""
"total","gluteus_minimus","","SCT","123037004","Anatomical Structure","SCT","78333006","Gluteus medius muscle","","","","","","","","","",""
